primary_type,date,latitude,longitude,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
NARCOTICS,2025-03-19 00:00:00,41.86741335,-87.695926092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-19 00:00:00,41.976290414,-87.905227221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEPTIVE PRACTICE,2025-03-19 00:00:00,41.797348638,-87.624157454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEPTIVE PRACTICE,2025-03-19 00:00:00,41.793731105,-87.624065316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEPTIVE PRACTICE,2025-03-19 00:00:00,41.671641702,-87.642921313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL SEXUAL ASSAULT,2025-03-19 00:00:00,41.895002822,-87.621454706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT,2025-03-19 00:00:00,41.885888079,-87.627942238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-19 00:00:00,41.97852489,-87.836589041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 23:57:00,41.862422995,-87.626313277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 23:52:00,41.873968788,-87.625987769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 23:45:00,41.974473519,-87.809826125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARCOTICS,2025-03-18 23:41:00,41.969243509,-87.760494984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGLARY,2025-03-18 23:30:00,41.803518035,-87.59672465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 23:30:00,41.749476996,-87.603528681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 23:30:00,41.774210511,-87.590552872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMICIDE,2025-03-18 23:27:00,41.769185486,-87.625732415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL TRESPASS,2025-03-18 23:26:00,41.874493357,-87.71446062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 23:23:00,41.91654447,-87.702061981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARCOTICS,2025-03-18 23:19:00,41.866373508,-87.708451909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 23:09:00,41.764209513,-87.683228721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 23:06:00,41.855524939,-87.6978538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 23:04:00,41.772972076,-87.644610871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 23:00:00,41.808500903,-87.616562762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 23:00:00,41.975773105,-87.705103499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 23:00:00,41.945900793,-87.764824648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 23:00:00,41.779618724,-87.653822953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL SEXUAL ASSAULT,2025-03-18 23:00:00,41.782140877,-87.686167814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 22:48:00,41.760361887,-87.58617869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 22:42:00,41.705535387,-87.701310527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSTITUTION,2025-03-18 22:41:00,41.803515121,-87.743044463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 22:38:00,41.97443857,-87.81119077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGLARY,2025-03-18 22:30:00,41.940351706,-87.727217913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 22:30:00,41.735032431,-87.655747658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 22:30:00,41.749287997,-87.572282625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 22:27:00,41.884736687,-87.756447037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT,2025-03-18 22:25:00,41.806914497,-87.604318647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAPONS VIOLATION,2025-03-18 22:21:00,41.870211606,-87.742460618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 22:17:00,41.917656022,-87.688750258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEX OFFENSE,2025-03-18 22:15:00,41.689296072,-87.660511446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 22:11:00,41.930459856,-87.643753566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 22:07:00,41.925241766,-87.732917074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGLARY,2025-03-18 22:03:00,41.904297264,-87.765730206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEX OFFENSE,2025-03-18 22:00:00,42.008008097,-87.65990463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 22:00:00,41.74145018,-87.58691095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 22:00:00,41.851436512,-87.646460241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 22:00:00,41.898642738,-87.749577975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 22:00:00,41.789406165,-87.668112217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 22:00:00,41.852670072,-87.6942409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 22:00:00,41.87979721,-87.696251029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 21:59:00,41.796956837,-87.668309189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 21:57:00,41.879893301,-87.627721751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSTITUTION,2025-03-18 21:52:00,41.802980697,-87.74425237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT,2025-03-18 21:50:00,41.652862356,-87.604722771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 21:50:00,41.792174878,-87.619157607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 21:49:00,41.885763413,-87.706261528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY,2025-03-18 21:48:00,41.7741362,-87.703027762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 21:48:00,41.773407549,-87.621506778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSTITUTION,2025-03-18 21:45:00,41.803983231,-87.74228461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAPONS VIOLATION,2025-03-18 21:45:00,41.996802777,-87.67394701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 21:39:00,41.767864995,-87.64691256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFENSE INVOLVING CHILDREN,2025-03-18 21:32:00,41.770944848,-87.588017121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAPONS VIOLATION,2025-03-18 21:31:00,41.870735748,-87.724075964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEPTIVE PRACTICE,2025-03-18 21:30:00,41.990812564,-87.668774407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 21:30:00,41.691839293,-87.676986704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 21:30:00,41.682597593,-87.615234462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 21:30:00,41.805261185,-87.72840851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 21:30:00,41.904641156,-87.634506098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 21:30:00,41.872632044,-87.716879846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 21:30:00,41.749406503,-87.723736721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAPONS VIOLATION,2025-03-18 21:22:00,41.760849561,-87.643080143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 21:20:00,42.003479882,-87.674510889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARCOTICS,2025-03-18 21:18:00,41.903608106,-87.72389579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 21:14:00,41.998424586,-87.689903996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 21:13:00,41.873699424,-87.704705156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY,2025-03-18 21:12:00,41.876196845,-87.724082848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 21:09:00,41.883255958,-87.734691097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAPONS VIOLATION,2025-03-18 21:06:00,41.765157518,-87.620069455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 21:03:00,41.803671998,-87.703846021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFENSE INVOLVING CHILDREN,2025-03-18 21:00:00,41.883113259,-87.746924756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 21:00:00,41.761605723,-87.604223289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT,2025-03-18 21:00:00,41.932363907,-87.752831763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 21:00:00,41.762279233,-87.671035209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL SEXUAL ASSAULT,2025-03-18 21:00:00,41.885001213,-87.725791327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 21:00:00,41.787858231,-87.716273609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIDNAPPING,2025-03-18 21:00:00,41.898523425,-87.728642098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 21:00:00,42.016329369,-87.690209293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 21:00:00,41.932363907,-87.752831763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 20:59:00,41.926716787,-87.648806251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 20:55:00,41.787779851,-87.687533829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 20:53:00,41.83560068,-87.646218605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 20:53:00,41.8718854,-87.704190546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMICIDE,2025-03-18 20:50:00,41.962918455,-87.71608752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 20:47:00,41.763181992,-87.609161079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 20:45:00,41.83554127,-87.645004622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERFERENCE WITH PUBLIC OFFICER,2025-03-18 20:42:00,41.909577258,-87.749867783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL TRESPASS,2025-03-18 20:39:00,41.751293082,-87.604724801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 20:35:00,41.778545198,-87.690940817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 20:34:00,41.776673882,-87.670223549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAPONS VIOLATION,2025-03-18 20:33:00,41.798102003,-87.717172886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 20:30:00,41.764206828,-87.589590618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 20:30:00,41.883113259,-87.746924756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 20:30:00,41.955699776,-87.654576994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 20:30:00,41.803181616,-87.585432024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 20:30:00,41.86557542,-87.671313862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 20:30:00,41.903986299,-87.716604043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 20:30:00,41.904263209,-87.667894747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 20:30:00,41.782987366,-87.615692028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 20:29:00,41.927992712,-87.641913321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 20:29:00,41.829193089,-87.6972447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT,2025-03-18 20:23:00,41.715494744,-87.662142881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 20:23:00,41.877882222,-87.73354419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFENSE INVOLVING CHILDREN,2025-03-18 20:20:00,41.949640324,-87.713238008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 20:20:00,41.816647623,-87.615958344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 20:19:00,41.990615196,-87.683188577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY,2025-03-18 20:15:00,41.895808196,-87.731029448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 20:15:00,42.016329369,-87.690209293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEALED CARRY LICENSE VIOLATION,2025-03-18 20:13:00,41.917510822,-87.716778803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMICIDE,2025-03-18 20:10:00,41.903481557,-87.732165896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAPONS VIOLATION,2025-03-18 20:05:00,41.854951882,-87.674084653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAPONS VIOLATION,2025-03-18 20:05:00,41.976181463,-87.836618285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 20:00:00,41.922206352,-87.719368223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 20:00:00,41.772597284,-87.703644045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 20:00:00,41.775719355,-87.610695476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 20:00:00,41.850863614,-87.701548336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 20:00:00,41.870883489,-87.680059831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 20:00:00,41.861419028,-87.627275131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 20:00:00,41.779211666,-87.686956197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 20:00:00,41.978411272,-87.791452968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 20:00:00,41.705602973,-87.536495319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY,2025-03-18 20:00:00,41.822954703,-87.684858125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 20:00:00,41.921943247,-87.702221889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 20:00:00,41.949724539,-87.660452276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 20:00:00,41.850198974,-87.627024152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBLIC PEACE VIOLATION,2025-03-18 19:56:00,41.772998982,-87.576478539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 19:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT,2025-03-18 19:47:00,41.877552552,-87.671050727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT,2025-03-18 19:47:00,41.794422725,-87.638444086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARCOTICS,2025-03-18 19:46:00,41.794289334,-87.662164888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 19:46:00,41.900422074,-87.642471635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 19:45:00,41.971202824,-87.704887321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 19:45:00,41.807135624,-87.724788974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 19:45:00,41.878521427,-87.751101417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT,2025-03-18 19:40:00,41.795835835,-87.703621991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 19:40:00,41.889906681,-87.624100509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 19:39:00,41.753104057,-87.56262469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 19:37:00,41.803201891,-87.72198373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT,2025-03-18 19:35:00,41.74181305,-87.604967558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 19:35:00,41.783800785,-87.647318269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAPONS VIOLATION,2025-03-18 19:34:00,41.881305634,-87.677563106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 19:33:00,41.880687961,-87.631561392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERFERENCE WITH PUBLIC OFFICER,2025-03-18 19:33:00,41.823686629,-87.62836124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 19:30:00,41.853556748,-87.709263076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 19:30:00,41.967204294,-87.716994839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 19:30:00,41.852882701,-87.635528609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 19:30:00,41.876547702,-87.655451911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 19:30:00,41.903762254,-87.720375159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY,2025-03-18 19:29:00,41.765505468,-87.62396574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 19:29:00,41.881088655,-87.720764494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAPONS VIOLATION,2025-03-18 19:29:00,41.752047871,-87.673793697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 19:27:00,41.691789182,-87.636316844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 19:27:00,41.925843451,-87.702341464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
